system:index,Elev,Humidity,NBR,NDVI,NDWI,Slope,Temp,Wind_Dir,Wind_Spd,.geo
1714,682,6.388385919102461,0.30081498622894287,0.46625974774360657,-0.42173537611961365,3.1941092014312744,16.309247831712696,-1.371168943841103,0.15350271433769272,"{""type"":""Point"",""coordinates"":[-114.88975190198026,53.9284559190138]}"
1715,2383,5.762206976873813,0.059826456010341644,0.2211378812789917,-0.2617949843406677,28.60001564025879,6.377896856006828,30.178691421049127,0.7543005830097522,"{""type"":""Point"",""coordinates"":[-116.75604908101656,52.317112808942014]}"
1716,675,6.688535937091729,0.48302093148231506,0.33531883358955383,-0.310715913772583,1.5671510696411133,16.412098494747227,96.12059218064707,0.24138403316237855,"{""type"":""Point"",""coordinates"":[-113.4764214255822,53.72323152700525]}"
1717,695,6.453963911324195,0.17821812629699707,0.0025692274793982506,0.04489880055189133,0.0,16.063750512976412,88.60650059642091,0.1757703567790788,"{""type"":""Point"",""coordinates"":[-113.68978502027984,53.90810505402699]}"
1718,2227,6.209868794993383,-0.09648002684116364,0.041171811521053314,-0.0625782236456871,33.57179260253906,10.900309072461084,33.23159429481744,0.6813204333173387,"{""type"":""Point"",""coordinates"":[-116.4472913693379,52.29375742217544]}"
1719,734,7.114857401764198,0.32552748918533325,0.46875545382499695,-0.41496238112449646,2.7802884578704834,16.419429673646675,100.44893126072587,0.3181563006515936,"{""type"":""Point"",""coordinates"":[-113.34828042263463,53.31756144199708]}"
1720,1004,6.554816476085705,0.20251783728599548,0.3820333778858185,-0.3577031195163727,2.7802884578704834,14.383719824071534,-10.605596892546025,0.37018840115648805,"{""type"":""Point"",""coordinates"":[-117.24369573518172,53.58259207759183]}"
1721,933,6.602856498015569,0.3128494322299957,0.44052278995513916,-0.3919684886932373,3.1756465435028076,15.868732480835547,77.88822152099303,0.276546210039893,"{""type"":""Point"",""coordinates"":[-114.11145424472626,52.891495943970014]}"
1722,624,6.315129275907566,0.373257577419281,0.44239985942840576,-0.38613542914390564,2.4489941596984863,16.244742773290284,14.089035435202348,0.09106311233629007,"{""type"":""Point"",""coordinates"":[-114.39071649954094,54.602865124568915]}"
1723,1129,6.256560689524633,0.4015752375125885,0.4273981750011444,-0.38031205534935,4.034013748168945,13.939752774489591,11.876049107658556,0.2623387534939979,"{""type"":""Point"",""coordinates"":[-116.03853913291957,54.5987596681356]}"
