system:index,NBR,NDVI,.geo
8997,0.42268189787864685,0.5114076733589172,"{""type"":""Point"",""coordinates"":[-116.99275016201459,54.79959620268286]}"
8998,0.47014325857162476,0.49871712923049927,"{""type"":""Point"",""coordinates"":[-114.10461792981907,52.495502058560724]}"
8999,0.33124586939811707,0.43113425374031067,"{""type"":""Point"",""coordinates"":[-115.05722240609875,53.3227204333082]}"
9000,0.3639830946922302,0.41727328300476074,"{""type"":""Point"",""coordinates"":[-115.7938291787072,54.076325434356086]}"
9001,0.27035489678382874,0.3742525577545166,"{""type"":""Point"",""coordinates"":[-114.42116363255155,54.271663204380296]}"
9002,0.3372310698032379,0.40740740299224854,"{""type"":""Point"",""coordinates"":[-115.84251781053217,52.729144357335585]}"
9003,0.3009595274925232,0.4403016269207001,"{""type"":""Point"",""coordinates"":[-114.04734512509914,52.39008499130837]}"
9004,0.1373937726020813,0.2873592972755432,"{""type"":""Point"",""coordinates"":[-114.31149459292907,52.105236980790615]}"
9005,0.28864845633506775,0.4027317762374878,"{""type"":""Point"",""coordinates"":[-115.08616574277926,53.823465352101024]}"
9006,0.20879273116588593,0.3318909704685211,"{""type"":""Point"",""coordinates"":[-116.04486951901072,52.19023148656343]}"
9007,0.39714130759239197,0.44808509945869446,"{""type"":""Point"",""coordinates"":[-115.0010720014428,54.41542500426435]}"
9008,0.40718576312065125,0.4382714033126831,"{""type"":""Point"",""coordinates"":[-116.16336510579107,54.792888112075275]}"
9009,0.29907357692718506,0.3097969889640808,"{""type"":""Point"",""coordinates"":[-113.28244016930611,52.79518331173746]}"
9011,0.48515498638153076,0.5734531879425049,"{""type"":""Point"",""coordinates"":[-115.2670445491458,54.53610397432919]}"
9012,0.4234003722667694,0.5055444240570068,"{""type"":""Point"",""coordinates"":[-115.38934520575097,53.44045259190678]}"
9013,0.3214455246925354,0.4039207100868225,"{""type"":""Point"",""coordinates"":[-113.03181441226049,54.510444375267106]}"
9014,0.005188359878957272,0.22446657717227936,"{""type"":""Point"",""coordinates"":[-116.68297831896159,53.469336423600446]}"
9015,0.2046796679496765,0.269695520401001,"{""type"":""Point"",""coordinates"":[-116.76747367325592,52.66996755734827]}"
9016,0.23673567175865173,0.3562576472759247,"{""type"":""Point"",""coordinates"":[-115.92525375469494,53.39391469524148]}"
9017,0.11011666804552078,0.24168752133846283,"{""type"":""Point"",""coordinates"":[-113.46554589352263,53.584987373445045]}"
9018,0.2971673011779785,0.36404868960380554,"{""type"":""Point"",""coordinates"":[-116.51428799403622,52.842740991384915]}"
9019,0.3847620189189911,0.3610016405582428,"{""type"":""Point"",""coordinates"":[-113.80882078139719,54.99529844514087]}"
9020,0.3594416677951813,0.48967278003692627,"{""type"":""Point"",""coordinates"":[-115.36330653552444,53.2274852991903]}"
9021,0.07412272691726685,0.10030745714902878,"{""type"":""Point"",""coordinates"":[-114.47517276740822,53.446201173458874]}"
9022,0.28823626041412354,0.3130421042442322,"{""type"":""Point"",""coordinates"":[-114.13976437714078,52.509377830932614]}"
9023,0.25148311257362366,0.2922590970993042,"{""type"":""Point"",""coordinates"":[-116.13506765341872,52.61017797398076]}"
9024,0.2738158106803894,0.33183571696281433,"{""type"":""Point"",""coordinates"":[-115.73072929116961,52.36679624920352]}"
9025,0.29198113083839417,0.373057097196579,"{""type"":""Point"",""coordinates"":[-115.49037345603293,53.29952964093946]}"
9026,0.2809773087501526,0.3646659255027771,"{""type"":""Point"",""coordinates"":[-117.43768599188274,52.95881328040577]}"
9027,0.2547606825828552,0.32638177275657654,"{""type"":""Point"",""coordinates"":[-116.09823056447993,52.71013919674728]}"
9028,0.2987077236175537,0.32651904225349426,"{""type"":""Point"",""coordinates"":[-115.49554005913106,52.290124498850496]}"
9029,0.4874461591243744,0.45410123467445374,"{""type"":""Point"",""coordinates"":[-113.9824129084408,53.83268342015051]}"
9030,0.31335359811782837,0.38565000891685486,"{""type"":""Point"",""coordinates"":[-113.33688857748218,53.41628182456086]}"
9031,0.2966388463973999,0.3814432919025421,"{""type"":""Point"",""coordinates"":[-117.38176778538332,53.14465031320878]}"
9032,0.40899062156677246,0.4718048572540283,"{""type"":""Point"",""coordinates"":[-113.7133651953067,52.79695492821064]}"
9033,0.3580108880996704,0.4856823980808258,"{""type"":""Point"",""coordinates"":[-113.10742886530828,54.37105269181991]}"
9034,0.3381598889827728,0.40883854031562805,"{""type"":""Point"",""coordinates"":[-115.23511496282104,52.997312695241426]}"
9035,0.49878427386283875,-0.020998820662498474,"{""type"":""Point"",""coordinates"":[-116.90568384197385,52.33989522683423]}"
9036,0.24456417560577393,0.33845436573028564,"{""type"":""Point"",""coordinates"":[-114.83807676471064,54.98591249064844]}"
9037,0.09981895238161087,0.277240514755249,"{""type"":""Point"",""coordinates"":[-114.43192656207655,54.39489512967475]}"
9038,0.3325421214103699,0.3711392283439636,"{""type"":""Point"",""coordinates"":[-115.14125792977946,52.2191189492699]}"
9039,0.1273926943540573,0.22898229956626892,"{""type"":""Point"",""coordinates"":[-114.2424827191632,53.713921881179765]}"
9040,0.26183438301086426,0.28997814655303955,"{""type"":""Point"",""coordinates"":[-114.87416600273662,54.724001096772334]}"
