Lat,Lon,Brightness,Confidence,Satellite,Instrument,DayNight,Timestamp
52.2413,-116.0648,328.4,64,Terra,MODIS,D,2024-08-02 18:38:00
52.2369,-116.0444,359.7,97,Terra,MODIS,D,2024-08-02 18:38:00
52.1728,-116.0702,345.3,94,Aqua,MODIS,D,2024-08-02 20:31:00
52.1768,-115.9977,335.5,89,Aqua,MODIS,D,2024-08-02 20:31:00
52.1696,-116.0268,341.6,92,Aqua,MODIS,D,2024-08-02 20:31:00
52.1755,-116.0042,340.5,91,Aqua,MODIS,D,2024-08-02 20:31:00
52.1682,-116.0329,332.4,87,Aqua,MODIS,D,2024-08-02 20:31:00
52.1662,-116.0963,349.9,96,Aqua,MODIS,D,2024-08-02 20:31:00
52.2358,-116.0434,363.9,100,Aqua,MODIS,D,2024-08-02 20:31:00
52.2278,-116.0757,335.8,76,Aqua,MODIS,D,2024-08-02 20:31:00
52.2342,-116.0463,357.1,98,Aqua,MODIS,D,2024-08-02 20:31:00
52.2259,-116.0785,326.7,61,Aqua,MODIS,D,2024-08-02 20:31:00
52.2359,-116.0657,364.6,100,Aqua,MODIS,D,2024-08-02 22:09:00
52.2337,-116.0244,335.5,66,Aqua,MODIS,D,2024-08-02 22:09:00
52.2325,-116.0695,355.3,97,Aqua,MODIS,D,2024-08-02 22:09:00
52.4453,-116.4264,330.8,83,Aqua,MODIS,D,2024-08-02 22:09:00
52.4571,-116.5198,317.2,64,Aqua,MODIS,D,2024-08-02 22:09:00
52.5165,-116.5284,347.4,94,Aqua,MODIS,D,2024-08-02 22:09:00
52.5172,-116.5366,346.4,89,Aqua,MODIS,D,2024-08-02 22:09:00
52.2375,-116.0197,312.1,84,Terra,MODIS,N,2024-08-03 04:11:00
52.243,-116.0511,312.9,68,Terra,MODIS,N,2024-08-03 04:11:00
52.7633,-114.2759,311.0,62,Terra,MODIS,D,2024-08-11 18:07:00
52.3051,-113.5702,305.5,65,Terra,MODIS,N,2024-08-12 05:18:00
52.5331,-113.1006,319.9,77,Terra,MODIS,D,2024-08-26 18:21:00
52.2469,-113.0273,321.6,72,Aqua,MODIS,D,2024-09-01 21:06:00
52.401,-113.2497,318.6,66,Aqua,MODIS,D,2024-09-01 21:06:00
52.4035,-113.2232,309.9,69,Terra,MODIS,D,2024-09-15 18:37:00
53.8429,-113.1245,308.7,66,Aqua,MODIS,D,2024-09-18 21:04:00
52.397,-113.2337,305.7,62,Terra,MODIS,D,2024-09-28 17:30:00
52.0587,-114.0692,327.5,85,Aqua,MODIS,D,2024-09-30 20:55:00
